campaign_member_id,campaign_id,member_type,lead_id,contact_id,status,has_responded,created_at,updated_at
UIUlzBPYVIatC1QyIq,Z3ZYUr576NAmJMiYB5,Contact,,alf1ZZ9tQTbX6NASJV,Sent,False,2024-11-07 09:30:09,2024-11-23 09:30:09
Eq0jK6sxvA3MVpowAe,IYUwL0AaY0SJA04csh,Lead,CCKaty4arkuNHbmD1o,,Sent,False,2024-10-23 10:41:49,2024-11-08 10:41:49
xsZJgveOn5Q9ZRRqXR,RGaIqiMZa6Tp5EvRun,Contact,,tQkijL16aKsshp1o3E,Sent,False,2024-09-10 16:36:58,2024-09-12 16:36:58
c4oV5ON8I398k61gY9,fbnldpuIX6CRgru0m8,Contact,,MtmmrSxLXwY2205AVl,Bounced,False,2025-05-18 22:15:04,2025-06-11 22:15:04
cX1VyJxUB9Fel4bDY6,zCPp3tVTQ8MZmUR1Zu,Lead,NhJ8Wtrvb2694LPwbt,,Sent,False,2025-06-26 09:36:53,2025-07-25 09:36:53
wesuye3VmEwXCJvk7L,V7RpTNnnv8A4nxV0dk,Lead,Iy6mnk3gUm9WeZ6LEO,,Sent,False,2025-02-02 17:54:15,2025-02-17 17:54:15
6E4HOFf2otXWs9qRuS,V7RpTNnnv8A4nxV0dk,Lead,G5T7J56BpXGVDo7DVx,,Responded,True,2024-11-25 11:46:39,2024-12-25 11:46:39
r9x2vffG1cvn1u50Jj,lvvh9tG4woS1U43qgF,Lead,jMrU7l26p7OEUcNmbm,,Sent,False,2025-06-02 12:01:35,2025-06-05 12:01:35
F7mJtlrsEJqj2o3RHe,nCA0jTIjHULJ4vO64d,Lead,nmUlWts4dVFXtfIznW,,Sent,False,2024-02-16 10:42:13,2024-02-16 10:42:13
xraKxiZ0QM7RlFRxI7,fbnldpuIX6CRgru0m8,Contact,,8qKASDxnvblOsksSki,Unsubscribed,False,2024-01-14 18:11:54,2024-02-08 18:11:54
a4QUbcfyVoSpaOCyfa,qyGYgImqhWuBOaj93t,Lead,hzARAj3CaRMwHpPOIc,,Responded,True,2024-02-23 19:56:29,2024-03-09 19:56:29
XLZXxIwwLOFlDpNI3S,mIHoxjTSWipIVRauzo,Lead,kWiCn8rgI439a4ZIqg,,Responded,True,2024-11-22 18:13:12,2024-12-02 18:13:12
8LFMFl19cfYXvvMxbu,A9jzzae12xCtxuXJ6B,Lead,LbSUoaWutE0xP93ZUt,,Bounced,False,2024-08-22 12:51:37,2024-08-27 12:51:37
YqgWgpeGQklclU5zRZ,HMbpyMV6qEEdLLxYCY,Contact,,pWRK0Inn8k7TekoRIG,Bounced,False,2024-01-03 17:49:11,2024-01-25 17:49:11
N8lxtizXwMw94T6gYT,5LcvzlLBp9f9VplB1Z,Contact,,kNDIQFQXh6hvg6Uf0v,Bounced,False,2025-10-14 22:31:13,2025-10-27 22:31:13
xBcn27PADl24XKoAMI,NKUp4BJED1d7EjzQf3,Lead,otLJ3uwXRTkgm8Hi18,,Sent,False,2025-02-05 20:06:18,2025-02-24 20:06:18
wPX4LNpkciQCiF4pTC,4yTRF1BKXqIVxMZoBL,Lead,oNG3581zr6v78GB4qu,,Sent,False,2025-02-16 06:21:25,2025-02-16 06:21:25
lIEbgQBB7XiLoqreQL,GMJggabcDbR4YRJSLR,Contact,,PHQyIa0zmTaRYL0284,Responded,True,2024-10-15 17:20:13,2024-10-31 17:20:13
GJ8qf9GlwyVP1I6ydR,c5crlPrKdfEbfNvv6b,Contact,,tFuww4MMslXtKU9u4F,Unsubscribed,False,2024-01-22 07:41:44,2024-02-17 07:41:44
G4jWh3om1ZTbosKDTr,Ora9xUxIe92MDny4AG,Contact,,UqMT1LHyqhusuRUagc,Sent,False,2025-12-02 12:30:23,2025-12-08 12:30:23
ctvekz8DJbrZj5ZCN4,csxgAmLo4sbfOrLDOp,Lead,H0GMsIE36uHTUDLNYT,,Sent,False,2025-07-02 19:59:47,2025-07-05 19:59:47
RIfaQ4WKJxTfixfCXx,1WtSrFE7EuGqZSxpS4,Contact,,sc5W864LzUOGat8mn4,Sent,False,2024-09-25 07:37:00,2024-10-09 07:37:00
MCkjPFGd1mZBqF7SOH,6pxCFklP2luDJR2Evw,Contact,,Au6WitL8Q7rwvuBOTp,Responded,True,2025-09-11 22:35:44,2025-10-06 22:35:44
LVwMXzmKrgCAAjGQFI,fbnldpuIX6CRgru0m8,Lead,ZBOULn3asvy5y0u7Uk,,Sent,False,2024-04-09 16:51:45,2024-05-07 16:51:45
uy5CjyisTBoUU103tM,6pxCFklP2luDJR2Evw,Lead,9uABQfBNvWDXahsoBB,,Sent,False,2025-05-24 14:24:41,2025-05-27 14:24:41
zrIgh8vPJMmlFybqss,zCPp3tVTQ8MZmUR1Zu,Lead,jypQ4kqRfI3HEHr43o,,Unsubscribed,False,2025-12-17 21:11:23,2025-12-18 21:11:23
KySBXjpbRutMTzcuAO,xxymgnZ3Kzu12XPqUV,Contact,,xheH9YfzK3j6TjxSaW,Sent,False,2024-06-08 17:42:52,2024-06-13 17:42:52
SfmRBJNmdeqdVAExv5,NKUp4BJED1d7EjzQf3,Lead,pDGfbPckZsHjPjhZOy,,Bounced,False,2024-09-30 00:58:37,2024-10-08 00:58:37
Aup67idV3Uj2BRWHdm,8tg65JpR4ZlykSTM98,Contact,,2UZxlPqo1i8h0OjLPs,Unsubscribed,False,2025-02-21 13:16:14,2025-03-02 13:16:14
Lalj2DM7zf5FYikVkm,xGUynvEYAako788xe8,Contact,,3BsClOHaN3uRFiDLZr,Responded,True,2024-06-24 22:17:59,2024-07-10 22:17:59
nNgktmorOZkJWnExJw,h52xOZ3j51Tpe37GO5,Contact,,TZOUZcUbXKE5JxCe5W,Bounced,False,2025-04-07 01:28:04,2025-04-23 01:28:04
Z4J3KHK6aPtrWI7NFT,GMJggabcDbR4YRJSLR,Lead,Qwcw23KapsCxJwz1qC,,Sent,False,2024-12-11 20:22:24,2025-01-09 20:22:24
lPYEHVj26DpNIBv33t,5XYwZX2HAJOb4T7dhV,Contact,,5CXveFbdQqSqrrBW3y,Bounced,False,2025-12-22 09:33:13,2025-12-31 00:00:00
PXXvByjhHsp1pQdB9J,lvvh9tG4woS1U43qgF,Lead,L369t5pdHwj0CoWmPh,,Sent,False,2025-03-03 01:18:07,2025-03-09 01:18:07
fZBg4rS72qfKMyzWtT,qyGYgImqhWuBOaj93t,Lead,TZsW8nmBmCY6iIfPSU,,Unsubscribed,False,2025-04-22 04:19:19,2025-04-27 04:19:19
la7wVjTU40Vh0zmQdE,fX3NRI0Xb2Wh2NENDK,Contact,,k2c75Ykg0b5OMxRqKq,Responded,True,2025-07-08 10:12:25,2025-07-16 10:12:25
BqxaU8o0L6oshN7Z3A,Pjy99hz8hGr2Tx5BAc,Contact,,ziPsxF0Zf0njmFNucJ,Sent,False,2024-03-28 20:04:42,2024-03-28 20:04:42
qxhAWEe0Jf1b7pwXD0,EE9R6f7VZxXJICdlq1,Contact,,KLC4FvYLDD5m62LRwC,Sent,False,2024-08-28 19:08:19,2024-09-24 19:08:19
FRxhJlX5giZtdXCC7N,8JvEJGzdaOgNfnvJtp,Contact,,PRmdzIhzJjFJGTvjAL,Sent,False,2024-05-23 23:42:02,2024-06-20 23:42:02
t8jZTWvPqIVrxiyP4z,0FgtMT4fNxIfPjBD0b,Contact,,rsJYy3Lfz1Wr3XOx4r,Sent,False,2025-06-01 10:54:45,2025-06-06 10:54:45
VIW2GocYHQQncvs1ie,c5crlPrKdfEbfNvv6b,Lead,FssvUCAHjmG5yaWdZZ,,Sent,False,2024-08-23 09:00:09,2024-09-04 09:00:09
Pl7NqtMZxt95rSx2r4,T9Zrv8Ypz8oQiJaNY3,Lead,mizqDYxm4agVnEth2a,,Sent,False,2025-01-21 01:04:08,2025-02-10 01:04:08
2WuMuITvSFbvC1EJJl,IYUwL0AaY0SJA04csh,Lead,hnikH5MoXNtjXJdPZN,,Sent,False,2024-08-21 23:25:42,2024-09-10 23:25:42
aik6UpykaEnvcGVTlr,o6OHzuOTUFUBAjdHLD,Lead,vSkzYyRrr5aaQA2xEf,,Responded,True,2025-11-12 05:55:30,2025-11-27 05:55:30
Y9ePxF8SqQXzsES3IM,NKUp4BJED1d7EjzQf3,Contact,,znTaycxGld1h2XHY6l,Sent,False,2024-12-20 10:37:06,2025-01-11 10:37:06
uctCB7GAjaF18BMs14,xqeM3BKM0x8s5QhYug,Contact,,82RJoDy76AMgFCHwfY,Sent,False,2024-04-24 16:00:21,2024-05-17 16:00:21
6dhxl9alL8BwEz2QoQ,csxgAmLo4sbfOrLDOp,Contact,,CRbjANsepLz4tijYPy,Unsubscribed,False,2024-10-14 05:29:32,2024-10-25 05:29:32
CIMnV5MFaPRamXnzYb,5LcvzlLBp9f9VplB1Z,Contact,,arOdOFf6OX9CVk9O6n,Unsubscribed,False,2025-02-08 23:30:33,2025-03-09 23:30:33
EFkiyj2m6XqpmVPZ7J,mUoK5i8xMFO0Y0eiWP,Contact,,Kt2fy7TZdJIA1s3lM1,Responded,True,2025-06-08 23:23:32,2025-06-11 23:23:32
MfWTGu3lN1Gn0EcSzt,GMJggabcDbR4YRJSLR,Contact,,CM4srJ5cw2oDxj8dAE,Sent,False,2025-04-30 08:22:03,2025-05-03 08:22:03
RsRM16TUbauGXEuavi,lvvh9tG4woS1U43qgF,Lead,jMDjJiIeIV7NhM0nUd,,Sent,False,2025-02-19 05:03:58,2025-02-28 05:03:58
SYYQhreJYhKMsYwFle,Jbx3uJrFJY2I5iuXnA,Contact,,wP6VTf0s4gYe4BzmcO,Sent,False,2025-11-03 19:10:00,2025-11-25 19:10:00
wPFBUBXZKgQZEFMSbX,zCPp3tVTQ8MZmUR1Zu,Lead,mejdw648oLOA6P753J,,Sent,False,2025-09-01 02:27:29,2025-09-11 02:27:29
zHDMAkOLbDUS1RsfzP,o6OHzuOTUFUBAjdHLD,Contact,,Nwe6mdDsk0A16V9CC7,Sent,False,2024-04-15 12:53:24,2024-04-30 12:53:24
czfu1jy68D9DQBNPf8,1WtSrFE7EuGqZSxpS4,Contact,,uMN2zNVsOU20mv2Noc,Sent,False,2025-07-10 03:55:28,2025-07-12 03:55:28
aG95dNc4ax2usAWSaW,fbnldpuIX6CRgru0m8,Lead,RX11ym2RklZPMn8qiF,,Sent,False,2025-11-25 23:20:39,2025-12-23 23:20:39
oonPRBRzavkKQFio9j,NKUp4BJED1d7EjzQf3,Contact,,lDx4P09Te3TUDbrTWf,Sent,False,2024-06-14 17:20:26,2024-06-17 17:20:26
un7IcudzS2tsTgKKPI,f6E6051k6nB1V1Ea2E,Contact,,CdGQpLIFHPSuuvM0Bl,Unsubscribed,False,2024-10-18 05:32:51,2024-11-14 05:32:51
NOgBJalqPWBBPezxKf,dSpJys0X6Bimtnf0Lx,Lead,MLvtwN8o3rdXU8gEDh,,Sent,False,2024-09-05 01:44:02,2024-09-27 01:44:02
TOgQwYgvHXiI17okhq,CkskBBGoCcwPeXILiC,Lead,OHxhyYvCmVqQAYUN3h,,Sent,False,2024-02-01 03:16:07,2024-02-10 03:16:07
MEl8aAgfjnvIwBwKHg,8tg65JpR4ZlykSTM98,Contact,,989L0mhzmavaMXnv7s,Sent,False,2025-11-05 13:10:56,2025-11-08 13:10:56
BXQRXMEGPL8WctHjVo,Pjy99hz8hGr2Tx5BAc,Contact,,DUwIGtyxZ3rXdBcJDG,Unsubscribed,False,2025-02-09 18:22:35,2025-02-28 18:22:35
qlWx8tWiQylQeUCvrb,EE9R6f7VZxXJICdlq1,Lead,8TsYunGFeRpdxu0RQI,,Sent,False,2024-01-11 22:04:42,2024-01-22 22:04:42
Ds2qAk3KFDld4MLAFu,xxymgnZ3Kzu12XPqUV,Contact,,vvyBFhOn2g9Bs8hIal,Sent,False,2024-11-09 20:40:15,2024-11-11 20:40:15
d6BZmK2Kj7CVLBgU8C,T9Zrv8Ypz8oQiJaNY3,Contact,,0Zwd4YFlbGi02Hrqxd,Responded,True,2024-05-26 01:46:52,2024-06-08 01:46:52
lblD14NkrgVyTak4eo,csxgAmLo4sbfOrLDOp,Lead,WX4CCEwxJiALx6X40q,,Unsubscribed,False,2025-07-18 04:06:30,2025-08-03 04:06:30
1Jb87igPVYGPWFvjP8,tzFhRqj1eQHJyJWWjO,Contact,,Zg2TBHHB30xAhUzyBZ,Unsubscribed,False,2025-09-14 23:17:46,2025-09-16 23:17:46
u5w7OQLPNsu5ZTcRoO,jUdss4gvwqwxXygFrM,Contact,,91Ur1MSjD2ps7XSkEp,Sent,False,2025-01-30 05:11:12,2025-02-23 05:11:12
Qdw7D2rSwH8r5a7i2U,jUdss4gvwqwxXygFrM,Lead,4dpcUWOjy01sXBtjXK,,Sent,False,2024-01-07 21:33:43,2024-01-15 21:33:43
qj4sPKDN4BOst6y5A0,Bw50yfneGKl5ujG6f2,Contact,,DuUYkLf5kJ0a6WQkzi,Sent,False,2024-07-06 20:48:50,2024-08-02 20:48:50
B6df5cvtGAGmXVayeF,oB3zxU58ueiKdvtze2,Lead,Mt1rtQHqhQKifoZ46X,,Sent,False,2025-05-29 02:47:29,2025-06-06 02:47:29
mRxdAoUwQboj0cvrZJ,iMOxZq8iiMaOwnavyY,Contact,,8LdQ0Bq1ruH4uq9vAw,Bounced,False,2024-11-12 18:51:29,2024-11-23 18:51:29
EomCeule22W93mlgQI,4A8t9Jk0ll1RSJJOju,Lead,NgX8lpEWqAqSenjFL5,,Unsubscribed,False,2024-10-03 04:08:45,2024-10-19 04:08:45
I8HlPAd6LWWwbPc0r2,5LcvzlLBp9f9VplB1Z,Lead,KNKbnkoYhjOIE6kDs3,,Bounced,False,2024-04-10 15:54:05,2024-04-14 15:54:05
qoqVeu96Yebxx5Am4a,c5crlPrKdfEbfNvv6b,Contact,,8VoGmviTn7yY73aljx,Sent,False,2025-02-06 02:20:19,2025-02-10 02:20:19
rxpXCQ6ToJnHpY5kV0,HMbpyMV6qEEdLLxYCY,Contact,,joW80IoPQ2qdjXCKlE,Sent,False,2025-04-19 13:55:15,2025-05-17 13:55:15
TpFj4Rn0Okh8Wpgkl9,6pxCFklP2luDJR2Evw,Contact,,R3keEunr7lSLhiPDPN,Sent,False,2025-06-15 03:59:13,2025-07-03 03:59:13
XceuMgzv1VRyJcEx0b,5XYwZX2HAJOb4T7dhV,Lead,ljRWmDIqqPP3rpexFA,,Sent,False,2024-01-20 23:00:59,2024-01-29 23:00:59
9Ej77Qra3NXq4FgG4A,8tg65JpR4ZlykSTM98,Contact,,OPHzJdvCJUlDUqFrYH,Responded,True,2024-06-18 00:39:50,2024-06-28 00:39:50
ovpO4zJRYYIxJaokkX,sskORbbLKzMtcQ5EhG,Lead,FCVhzK93kQksigFhLv,,Sent,False,2024-06-16 22:20:01,2024-07-02 22:20:01
YyxqUqO86Fa0nASgk6,ItcGN5MsMUe7PTLEnn,Contact,,rnKsOF3wCdju6mLgbK,Bounced,False,2024-12-09 15:30:42,2024-12-16 15:30:42
rxq68T7RBZn6refJxD,fX3NRI0Xb2Wh2NENDK,Contact,,GcNJsAN5JevrCuy5J8,Sent,False,2024-07-07 11:39:38,2024-07-17 11:39:38
V1QVnM7VM541mw5r3n,HMbpyMV6qEEdLLxYCY,Contact,,7pzQD0J4hSkgQbkNF6,Bounced,False,2024-03-21 15:42:13,2024-04-05 15:42:13
CueqUV3ZPmucrh934U,e2X0kqcomdUJnOY9f4,Lead,EPpl2ct1EB4SUqVq2m,,Bounced,False,2024-04-22 00:23:13,2024-04-26 00:23:13
UK4PBLr4nvQCX4W8iz,c5crlPrKdfEbfNvv6b,Lead,PubKPdG3bD4NZaK6xF,,Sent,False,2025-04-11 21:59:12,2025-04-22 21:59:12
TdUopjcDUMgIYkHeHf,4A8t9Jk0ll1RSJJOju,Lead,SqJ6UJSZ1dtn9jOYab,,Sent,False,2025-10-25 18:59:45,2025-11-17 18:59:45
UMWGhhJaQtPvrUqA1b,czEQwS0dtsjNbtMv2M,Contact,,wNwNyUVq9hySeMjfPb,Sent,False,2024-03-09 08:53:37,2024-03-28 08:53:37
4P3zsnFUwzSjI045Be,tzFhRqj1eQHJyJWWjO,Contact,,0I6LlcaCz1dEjQKXuK,Sent,False,2025-09-09 15:19:14,2025-09-22 15:19:14
3lYNpDKaYUw2zPlRgK,knerxPHZTsagyW193E,Contact,,FkTBY3vgXA9tdMCXd2,Sent,False,2025-11-27 05:26:27,2025-11-27 05:26:27
p7SO6IEy6JBt1gJtLq,EE9R6f7VZxXJICdlq1,Lead,imT4ZxH5zBNJQgPnKn,,Sent,False,2025-06-25 03:29:05,2025-07-01 03:29:05
CPUzZ1vjVhNVyUD9WX,h52xOZ3j51Tpe37GO5,Contact,,584xs21TcWaCaHYKqj,Sent,False,2024-03-15 02:39:25,2024-03-30 02:39:25
Ya4aiEuKb11ZfFDQea,ytG4pJS3x02ix2KNtI,Contact,,VfLvXF3dCVzHwEtAmf,Bounced,False,2025-07-30 09:35:00,2025-07-30 09:35:00
cKNZrDcghonveKVL97,Bw50yfneGKl5ujG6f2,Lead,Uua6tlRoEOuCW7Qjhi,,Sent,False,2024-07-09 11:18:17,2024-07-19 11:18:17
wJzDIejIfrPEaavSNw,sskORbbLKzMtcQ5EhG,Lead,ORqS10MfaLQzqujj95,,Sent,False,2024-12-25 00:48:57,2024-12-29 00:48:57
5W44inSoCzD1XlBF0W,4A8t9Jk0ll1RSJJOju,Lead,q9DgV25xpqti3MvpTy,,Bounced,False,2024-11-23 09:48:57,2024-12-14 09:48:57
E5xNrgD3JPSrX5ue0N,NKUp4BJED1d7EjzQf3,Lead,vxcznyuQRngHZItLw9,,Sent,False,2025-05-10 11:45:43,2025-05-11 11:45:43
MzipAUWBkZwoHzvQ5u,ROEK23iSCCfcTNYaea,Lead,nkwD6DHPr3Xh7XTFHm,,Sent,False,2025-12-17 21:07:14,2025-12-31 00:00:00
I20geCkEytzfSgrxm7,6JGarktZnDwO9yqWqb,Contact,,nxsggzNhRK88gwCs0F,Sent,False,2025-01-31 01:25:44,2025-02-18 01:25:44
k1fbjrvxfMPWAG7S2q,6pxCFklP2luDJR2Evw,Contact,,kpsYlf1mkTPglqNiWq,Responded,True,2024-06-06 04:39:53,2024-07-06 04:39:53
pCKqnM3IUeArFTMYH9,Jbx3uJrFJY2I5iuXnA,Lead,zBhpDkJmGAz93WdNJ5,,Sent,False,2024-05-24 10:27:40,2024-06-10 10:27:40
LbnbYX6IYiQxo1IYpy,lvvh9tG4woS1U43qgF,Contact,,Kc1HWiurSd5RUlGkh3,Unsubscribed,False,2025-03-09 00:15:33,2025-03-20 00:15:33
q3c2FVFUq2BiPyYURe,oB3zxU58ueiKdvtze2,Contact,,IqBEyfORSibBWGCXZm,Sent,False,2024-07-09 02:45:43,2024-07-14 02:45:43
oKhzAlIZOLBv3WqRoH,GMJggabcDbR4YRJSLR,Contact,,MkyTalRFZ1TzyHqPc4,Sent,False,2025-01-08 00:53:31,2025-01-15 00:53:31
Wh1CZXLZ8BjIFBLQqL,V7RpTNnnv8A4nxV0dk,Contact,,nzeK6wt2cnEC3OTtUq,Bounced,False,2024-07-25 13:39:05,2024-08-02 13:39:05
UMfglw2tCAKUUwuo88,IYUwL0AaY0SJA04csh,Lead,TUR8WsE8cTqC1NBKrL,,Bounced,False,2025-07-15 01:03:22,2025-07-20 01:03:22
4w4TaQbDVlEPiXe1RL,4A8t9Jk0ll1RSJJOju,Contact,,0Nm30nYDRPFV1vRSVp,Bounced,False,2025-11-27 12:26:37,2025-12-04 12:26:37
flLlSo4JHEKEmLBOa1,mIHoxjTSWipIVRauzo,Contact,,oeU6rbpRUiyqc0w8AY,Sent,False,2025-04-13 20:52:15,2025-04-24 20:52:15
FcD8URNodu7MCVjFns,5XYwZX2HAJOb4T7dhV,Contact,,hiTvLpBrHeJzyhqANQ,Sent,False,2025-03-07 08:01:36,2025-03-12 08:01:36
F6P2CVID7ltupQSVrZ,6JGarktZnDwO9yqWqb,Lead,fCTdTgntnsIuQxjbi0,,Sent,False,2024-11-03 00:38:35,2024-11-16 00:38:35
cjHq9483WNDbauYC0p,4yTRF1BKXqIVxMZoBL,Lead,fcnNuU2zplF1ATINvM,,Sent,False,2024-11-09 18:53:47,2024-11-17 18:53:47
AsYiT2mmv4xhh2FIr0,4A8t9Jk0ll1RSJJOju,Lead,eXkfbxiJNKfcib4JNJ,,Sent,False,2025-09-26 05:56:45,2025-10-03 05:56:45
R2hMhjuuF8kXGO1JQs,knerxPHZTsagyW193E,Lead,m6nKULXfFSpIKWfrqU,,Sent,False,2024-06-29 11:00:12,2024-07-11 11:00:12
dljGw9aIpsbgcYpuAU,0FgtMT4fNxIfPjBD0b,Contact,,bJztd6AjG0Q3BQW5JZ,Unsubscribed,False,2024-12-27 14:06:21,2025-01-02 14:06:21
LnSh5eVlsQGEaymtHm,nZYJNQN8JcCyXmMHef,Contact,,yNsZivTedqzOBExcjB,Sent,False,2024-09-11 00:13:38,2024-09-24 00:13:38
dXY164s35KSUvKanO7,kgqVLVQ98jdJE5YwGx,Lead,BOv1pTeXk4t6xlbsvF,,Bounced,False,2025-08-11 17:28:21,2025-08-23 17:28:21
yAIE2EZvP9H1P1itDp,oB3zxU58ueiKdvtze2,Lead,oNG3581zr6v78GB4qu,,Responded,True,2024-07-31 03:31:31,2024-08-19 03:31:31
K5GmbOMZ6zfVavb4Q0,jUdss4gvwqwxXygFrM,Contact,,oiSoayeWOHrlH7xAqO,Unsubscribed,False,2025-05-12 23:26:35,2025-05-12 23:26:35
r0C9teFpuziSNrDYJf,c5crlPrKdfEbfNvv6b,Lead,Tx8V5LWQCD0liEEp6f,,Bounced,False,2024-01-12 09:58:58,2024-01-17 09:58:58
jx15wjVNM2d7vGpOcq,GMJggabcDbR4YRJSLR,Lead,DRPlaBI8fZf96KZZZO,,Sent,False,2025-07-07 01:51:10,2025-07-09 01:51:10
ikW4Y7vg30tTlCzJxk,nCA0jTIjHULJ4vO64d,Lead,9JKUkzFIxr8N338qD0,,Sent,False,2024-03-27 14:13:55,2024-04-22 14:13:55
8ZcWUQftOb2rX08cN2,wjEZFGcE2nq1hOeDKS,Lead,QjNRuObf810wib9QxC,,Sent,False,2024-04-12 12:50:25,2024-04-26 12:50:25
oPrq9iWtKmzt4H7mcm,knerxPHZTsagyW193E,Lead,fKfBuB3Pks0yx8qvnv,,Sent,False,2025-06-16 15:09:51,2025-06-19 15:09:51
yTTpZFWBMYd79J6PBE,xxymgnZ3Kzu12XPqUV,Contact,,RnED6wsIQW0N6SLP88,Sent,False,2024-04-01 22:59:17,2024-04-09 22:59:17
M0ePMdkKiF5YhGH3Cs,fbnldpuIX6CRgru0m8,Contact,,ZoL4ebe0pSFwlydnH5,Unsubscribed,False,2025-09-01 10:05:18,2025-10-01 10:05:18
YzVPqg9lPR9lE9K4Ri,A9jzzae12xCtxuXJ6B,Lead,tkPbHS9h2JzQ70mPo6,,Sent,False,2025-09-15 00:40:20,2025-10-15 00:40:20
9rVbnFYeqx0CGHyv57,knerxPHZTsagyW193E,Lead,A34DV3MTnIdMpSooRw,,Sent,False,2025-12-02 13:17:12,2025-12-06 13:17:12
uvqQpSii3gJgRy4ix5,5XYwZX2HAJOb4T7dhV,Contact,,sqrtKh6BYl8xQew4QH,Sent,False,2025-11-26 19:27:00,2025-12-17 19:27:00
U1O21yQglts0lefELe,f6E6051k6nB1V1Ea2E,Lead,mpsEH6RFsrxxfNb0LI,,Unsubscribed,False,2025-11-03 08:53:58,2025-11-19 08:53:58
P34O2DdFJMFVNm8sWf,zCPp3tVTQ8MZmUR1Zu,Lead,WDq1iCdlzRLnzniARR,,Responded,True,2024-08-06 03:56:02,2024-09-01 03:56:02
LIrFVY9WvOuYUkWn2U,dSpJys0X6Bimtnf0Lx,Contact,,c174Beq7bQ33SARYfa,Sent,False,2024-02-07 03:11:22,2024-02-24 03:11:22
6eKdvQGREIdHsRq9ej,T9Zrv8Ypz8oQiJaNY3,Contact,,m180idBHxVZp52zTsS,Sent,False,2025-02-28 10:45:52,2025-03-19 10:45:52
OQE7aAUsALf1H9x76P,xGUynvEYAako788xe8,Lead,s1iEFBrEl9cIBj8K4k,,Unsubscribed,False,2024-05-07 14:48:17,2024-05-27 14:48:17
pAxOmP3TE5U2QZwrNn,IYUwL0AaY0SJA04csh,Contact,,pN1Mmz9TFXbhqpjHu9,Bounced,False,2024-08-22 04:48:16,2024-09-11 04:48:16
RszbLRJe2bgGgv7OXk,wjEZFGcE2nq1hOeDKS,Lead,lPhfABLSGyYG89Z285,,Bounced,False,2025-05-26 07:22:07,2025-05-27 07:22:07
tcrPrV7nEZs6r0hVui,lvvh9tG4woS1U43qgF,Contact,,wi4DSDtHSGgMAKh5IW,Responded,True,2024-02-26 01:36:11,2024-03-14 01:36:11
ZqRvDVvhd1zCudSBpS,5LcvzlLBp9f9VplB1Z,Contact,,wxCIYatAkkD73KCCd9,Sent,False,2024-10-17 14:11:55,2024-11-16 14:11:55
X0kUwVaQ3KuayrEZ3j,aPrBTsuGMeCtPyTm4I,Lead,HrOBSGYqNBf63MDBiL,,Responded,True,2024-07-02 06:32:28,2024-07-05 06:32:28
nET6IdDaFTfOEdPQsP,aPrBTsuGMeCtPyTm4I,Lead,B9LYl62XPx5NZz6hiO,,Sent,False,2025-07-27 07:04:03,2025-07-28 07:04:03
DKXLCgrPWy3fPxYvRc,IYUwL0AaY0SJA04csh,Contact,,HtA8o7IoawhbHC4YzV,Responded,True,2025-12-24 22:15:27,2025-12-31 00:00:00
BietDBl6s1aNLb788X,QngaMszafovek4SXx6,Contact,,W8ef7n156PxE2JMTIY,Sent,False,2024-12-23 09:12:47,2025-01-21 09:12:47
